1,-7.34788079488412E-16
1.6959576089,-0.993155622
3.073430055,0.2461516857
4.7396731536,-0.8770407934
6.6705937801,-1.070482104
6.9198229462,-0.2932162256
7.2852221712,0.8154646376
8.1565486532,0.752520356
10.0503816639,0.3065011289
10.4588344399,0.1503735289
12.4449712944,0.4010539829
12.9890047284,-0.1964693968
14.6519432284,-0.8404918765
14.894397801,-0.6848469151
15.3590286694,0.6669197285
16.9972115194,-0.0523817234
17.0314865616,0.3801658332
17.4325571334,0.5890613674
18.6708774843,-1.0722774659
20.4919114821,-0.0465242162
20.7057200089,-0.8912037022
21.9545297391,-0.3379842962
22.0417196972,0.3585632036
23.7000016092,-0.9510394194
24.3270698848,1.0833379387
25.3720769549,0.5233371851
27.2953216133,0.901780616
27.9878481591,-0.2145722108
28.0948016847,0.496883685
29.9036589564,-0.5234565064
